crime_id,victim_id,location_id,station_id,crime_type,crime_date,crime_time,severity,weapon_used,loss_amount,arrest_made
C000024,V03337,L0291,S064,Cyber Crime,2025-09-30,Evening,Medium,Knife,473670,Yes
C000025,V00218,L0058,S025,Burglary,2025-03-25,Afternoon,Low,None,263957,No
C000026,V02321,L0105,S003,Cyber Crime,2024-09-04,Morning,Low,None,325811,Yes
C000027,V03946,L0096,S034,Kidnapping,2023-01-30,Morning,Medium,None,189435,Yes
C000028,V01476,L0091,S061,Fraud,2024-06-16,Evening,Medium,Gun,493405,No
C000029,V01275,L0228,S069,Cyber Crime,2024-10-30,Evening,Low,Knife,482135,No
C000030,V01961,L0025,S017,Assault,2025-05-07,Afternoon,Medium,Gun,300791,Yes
C000031,V03005,L0111,S001,Cyber Crime,2025-04-30,Evening,Medium,Knife,485075,Yes
C000032,V02303,L0035,S047,Assault,2025-03-30,Afternoon,Low,Knife,413077,No
C000033,V02226,L0292,S029,Robbery,2023-10-15,Evening,Low,Gun,442765,Yes
C000034,V00378,L0185,S027,Burglary,2023-07-26,Afternoon,Low,Gun,274503,Yes
C000035,V02936,L0287,S019,Kidnapping,2023-02-26,Evening,Low,None,151167,No
C000036,V03447,L0193,S026,Fraud,2024-04-05,Evening,Low,None,34058,No
C000037,V03656,L0259,S070,Kidnapping,2023-11-19,Night,Medium,Gun,12688,Yes
C000038,V02193,L0276,S013,Assault,2024-03-24,Afternoon,Medium,Knife,104680,Yes
C000039,V01861,L0204,S072,Fraud,2024-10-27,Afternoon,Low,Knife,324510,Yes
C000040,V00818,L0023,S069,Theft,2024-08-17,Night,Low,None,334286,No
C000041,V03458,L0094,S008,Theft,2024-12-05,Evening,Medium,Gun,187937,Yes
C000042,V02998,L0241,S028,Assault,2025-06-29,Evening,Low,Knife,338363,Yes
C000043,V01658,L0290,S063,Cyber Crime,2023-10-06,Evening,Medium,None,242657,Yes
C000044,V01334,L0049,S018,Robbery,2024-04-08,Evening,Low,Stick,444395,Yes
C000045,V03037,L0019,S004,Fraud,2025-06-19,Night,Low,None,498623,Yes
C000046,V01349,L0165,S075,Robbery,2024-12-29,Morning,Low,None,386453,Yes
C000047,V00159,L0290,S051,Cyber Crime,2023-03-04,Evening,Medium,Gun,318038,Yes
C000048,V03980,L0092,S013,Fraud,2024-06-20,Evening,High,Knife,8946,No
C000049,V00419,L0089,S006,Burglary,2025-01-18,Morning,Low,None,110790,Yes
C000050,V00754,L0052,S047,Robbery,2024-06-25,Afternoon,Low,None,152482,No
C000051,V03984,L0287,S001,Burglary,2025-05-23,Evening,Medium,None,96423,Yes
C000052,V03114,L0154,S038,Fraud,2023-03-16,Night,Low,None,333536,Yes
C000053,V02190,L0253,S022,Kidnapping,2025-09-25,Evening,Low,None,417792,No
C000054,V03259,L0184,S001,Cyber Crime,2025-01-28,Morning,High,None,220129,Yes
C000055,V00341,L0155,S051,Assault,2023-02-28,Evening,High,None,493609,Yes
C000056,V00235,L0029,S023,Theft,2024-06-20,Morning,Low,Stick,10446,Yes
C000057,V01255,L0204,S073,Robbery,2024-02-02,Afternoon,High,None,38160,No
C000058,V00261,L0072,S075,Robbery,2024-09-03,Evening,Medium,Stick,24052,No
C000059,V00761,L0187,S032,Robbery,2025-09-09,Night,Low,Knife,288490,No
C000060,V03534,L0001,S043,Kidnapping,2024-05-23,Night,Low,Stick,253810,Yes
C000061,V02674,L0039,S020,Burglary,2023-03-05,Morning,High,None,441299,Yes
C000062,V00725,L0137,S038,Burglary,2024-05-17,Afternoon,Low,Knife,416625,No
C000063,V03226,L0115,S042,Kidnapping,2023-01-30,Afternoon,High,Stick,333706,Yes
C000064,V02104,L0280,S010,Burglary,2025-07-24,Afternoon,Medium,None,356477,Yes
C000065,V02673,L0077,S022,Kidnapping,2023-03-04,Morning,Medium,Knife,488763,No
C000066,V01540,L0099,S011,Kidnapping,2025-02-26,Morning,Low,Knife,91439,Yes
C000067,V03520,L0279,S060,Fraud,2025-11-20,Night,Medium,None,136422,No
C000068,V02388,L0296,S049,Assault,2024-10-27,Evening,High,Knife,310209,No
C000069,V03410,L0169,S002,Cyber Crime,2023-05-14,Afternoon,Medium,Gun,323099,No
C000070,V01595,L0112,S028,Assault,2023-12-27,Night,Medium,None,42601,No
C000071,V01473,L0289,S039,Assault,2024-12-12,Morning,High,None,273216,No
C000072,V03956,L0017,S040,Theft,2025-09-03,Morning,High,Stick,287944,Yes
C000073,V03075,L0103,S019,Fraud,2025-10-17,Night,Medium,None,425976,Yes
C000074,V03915,L0096,S059,Fraud,2024-02-15,Afternoon,High,Knife,9229,Yes
C000075,V00625,L0026,S067,Kidnapping,2024-08-24,Morning,High,None,5087,No
C000076,V03017,L0080,S032,Assault,2023-08-25,Evening,Low,None,400376,No
C000077,V02456,L0117,S032,Cyber Crime,2024-12-27,Night,High,Knife,57429,No
C000078,V00899,L0156,S068,Robbery,2023-09-15,Afternoon,Low,Stick,215787,Yes
C000079,V02694,L0228,S061,Cyber Crime,2023-12-20,Evening,Low,None,134159,No
C000080,V00853,L0134,S035,Kidnapping,2024-12-26,Morning,High,None,295017,Yes
C000081,V01337,L0204,S039,Cyber Crime,2024-04-15,Afternoon,Medium,Knife,268521,No
C000082,V00276,L0041,S010,Robbery,2024-03-28,Afternoon,Low,None,229276,Yes
C000083,V01423,L0067,S034,Burglary,2025-02-02,Afternoon,Low,None,443157,Yes
C000084,V03527,L0044,S005,Fraud,2023-07-09,Afternoon,High,None,239594,Yes
C000085,V00908,L0066,S022,Robbery,2025-11-02,Morning,Low,None,398382,No
C000086,V02516,L0043,S036,Kidnapping,2024-03-31,Afternoon,Medium,None,285238,Yes
C000087,V00186,L0133,S057,Theft,2025-10-20,Morning,Medium,Gun,32622,No
C000088,V03733,L0094,S050,Fraud,2024-07-26,Morning,Low,Gun,134752,Yes
C000089,V03103,L0151,S045,Theft,2024-12-19,Morning,High,None,426645,Yes
C000090,V02411,L0179,S072,Burglary,2025-07-16,Evening,Medium,Stick,354898,Yes
C000091,V00640,L0214,S037,Robbery,2023-02-13,Night,Low,None,410098,Yes
C000092,V01694,L0098,S031,Burglary,2025-07-07,Afternoon,Low,None,268742,No
C000093,V01383,L0057,S056,Kidnapping,2025-08-10,Morning,Medium,Gun,495064,No
C000094,V01130,L0102,S016,Theft,2025-09-04,Evening,Low,Gun,469898,Yes
C000095,V03662,L0139,S013,Theft,2024-03-29,Evening,Low,Knife,53230,No
C000096,V01192,L0040,S049,Robbery,2023-05-19,Night,Low,None,178100,Yes
C000097,V03956,L0295,S041,Burglary,2024-11-03,Night,Low,None,407195,Yes
C000098,V01276,L0119,S033,Cyber Crime,2024-03-18,Afternoon,Low,Knife,215832,No
C000099,V03326,L0108,S052,Robbery,2023-05-24,Night,High,Gun,234868,Yes
C000100,V01323,L0112,S025,Robbery,2024-11-12,Night,Low,None,435793,No
C000101,V00893,L0233,S051,Robbery,2024-02-06,Night,Low,Knife,313136,No
C000102,V00704,L0085,S045,Burglary,2024-05-12,Afternoon,Low,None,11184,Yes
C000103,V00767,L0220,S013,Burglary,2024-05-07,Evening,Low,Stick,463401,No
C000104,V03121,L0195,S048,Theft,2023-12-05,Night,High,None,356580,Yes
C000105,V01456,L0086,S018,Kidnapping,2024-09-29,Evening,High,None,51877,No
C000106,V03834,L0232,S010,Kidnapping,2023-04-08,Morning,Medium,None,396567,No
C000107,V02757,L0193,S017,Fraud,2025-08-31,Night,High,None,140215,No
C000108,V00334,L0230,S030,Fraud,2023-12-16,Evening,Low,Gun,130660,Yes
C000109,V02068,L0053,S008,Theft,2023-10-23,Night,Low,None,382604,No
C000110,V00132,L0265,S002,Cyber Crime,2025-01-08,Afternoon,Medium,Knife,176856,Yes
C000111,V03946,L0111,S031,Robbery,2023-03-15,Morning,Medium,None,374941,No
C000112,V01101,L0019,S024,Fraud,2025-09-01,Night,Low,None,160217,No
C000113,V01597,L0219,S011,Fraud,2023-12-26,Night,Medium,Knife,367375,No
C000114,V02503,L0154,S003,Theft,2023-07-06,Night,High,None,77536,Yes
C000115,V01923,L0115,S034,Theft,2023-10-06,Afternoon,Medium,Stick,448975,No
C000116,V01364,L0024,S054,Burglary,2025-11-17,Morning,Medium,Gun,492379,No
C000117,V03751,L0091,S011,Cyber Crime,2024-12-27,Morning,Low,Knife,54767,No
C000118,V01010,L0169,S050,Cyber Crime,2023-05-17,Morning,Medium,Stick,457138,Yes
C000119,V02879,L0256,S059,Theft,2023-03-29,Morning,Medium,Knife,384349,Yes
C000120,V02492,L0278,S003,Kidnapping,2024-12-27,Night,Low,None,213006,Yes
C000121,V02267,L0089,S016,Kidnapping,2025-02-06,Evening,Medium,Knife,226639,Yes
C000122,V00718,L0193,S024,Kidnapping,2025-01-06,Afternoon,Low,Knife,195664,Yes
C000123,V00852,L0150,S006,Fraud,2025-12-30,Night,Low,Knife,103580,Yes
C000124,V01658,L0236,S041,Theft,2023-04-13,Evening,Low,None,130176,Yes
C000125,V02391,L0267,S028,Assault,2023-06-05,Evening,High,None,214991,Yes
C000126,V02106,L0047,S016,Assault,2023-08-22,Morning,High,Knife,147350,No
C000127,V02060,L0031,S028,Cyber Crime,2024-03-12,Afternoon,Medium,None,435273,Yes
C000128,V01960,L0006,S066,Kidnapping,2023-02-28,Afternoon,Low,None,441800,No
C000129,V00469,L0020,S017,Theft,2023-11-20,Afternoon,Medium,None,196528,No
C000130,V02354,L0155,S052,Theft,2025-06-17,Afternoon,Low,Knife,149210,Yes
C000131,V02391,L0017,S031,Cyber Crime,2023-02-08,Morning,Low,None,363124,Yes
C000132,V00744,L0043,S014,Robbery,2025-02-10,Morning,Medium,None,488770,No
C000133,V01543,L0255,S010,Kidnapping,2023-09-05,Morning,High,None,296567,Yes
C000134,V02850,L0188,S071,Assault,2025-12-05,Evening,Medium,Knife,487850,Yes
C000135,V02175,L0251,S023,Fraud,2024-11-02,Evening,Medium,None,29606,Yes
C000136,V00002,L0182,S039,Cyber Crime,2024-07-05,Night,Medium,Gun,315886,Yes
C000137,V00460,L0261,S043,Burglary,2023-11-13,Morning,Low,Stick,311323,Yes
C000138,V02589,L0121,S071,Burglary,2023-06-05,Afternoon,Low,Gun,497201,Yes
C000139,V00276,L0164,S003,Burglary,2023-11-11,Afternoon,High,None,8988,Yes
C000140,V02449,L0076,S040,Fraud,2023-10-16,Night,Medium,None,413922,Yes
C000141,V03845,L0299,S012,Cyber Crime,2025-01-06,Night,Low,Knife,325162,No
C000142,V03126,L0154,S049,Theft,2024-02-16,Morning,Low,None,292429,No
C000143,V00580,L0045,S045,Fraud,2024-02-17,Night,Low,Knife,218505,No
C000144,V02416,L0103,S064,Kidnapping,2025-04-02,Night,Low,None,370271,No
C000145,V00725,L0201,S035,Burglary,2023-10-19,Evening,Low,None,48518,Yes
C000146,V00725,L0261,S055,Cyber Crime,2023-09-27,Morning,Low,Gun,496521,Yes
C000147,V01432,L0238,S017,Robbery,2023-10-27,Evening,Medium,Gun,15682,Yes
C000148,V01748,L0049,S027,Burglary,2024-05-12,Morning,Medium,None,155837,Yes
C000149,V02434,L0238,S006,Cyber Crime,2025-09-29,Evening,High,None,82368,No
C000150,V01115,L0135,S074,Assault,2023-09-01,Afternoon,Low,None,189581,Yes
C000151,V00839,L0201,S074,Cyber Crime,2023-07-06,Afternoon,Low,None,116083,Yes
C000152,V00583,L0127,S015,Assault,2023-04-06,Evening,High,Knife,62189,No
C000153,V00457,L0096,S074,Fraud,2025-10-30,Morning,Medium,Stick,283161,Yes
C000154,V01288,L0194,S033,Assault,2025-12-27,Evening,Medium,Knife,328101,Yes
C000155,V02272,L0033,S053,Kidnapping,2023-12-29,Evening,Medium,None,195317,Yes
C000156,V01059,L0044,S019,Robbery,2024-10-12,Morning,Low,None,341234,No
C000157,V02881,L0260,S003,Kidnapping,2023-12-17,Morning,Medium,Knife,408610,Yes
C000158,V03915,L0126,S003,Assault,2025-12-31,Evening,Medium,Gun,93268,Yes
C000159,V02868,L0105,S072,Fraud,2025-11-01,Afternoon,Medium,Knife,129170,Yes
C000160,V00380,L0231,S070,Cyber Crime,2024-07-06,Evening,Medium,Stick,289896,Yes
C000161,V03314,L0017,S073,Burglary,2024-11-20,Afternoon,Medium,None,135448,No
C000162,V01569,L0118,S012,Burglary,2024-09-16,Morning,Medium,None,334515,No
C000163,V00621,L0023,S025,Robbery,2025-08-10,Morning,Low,Knife,447915,Yes
C000164,V03432,L0220,S022,Burglary,2023-08-04,Afternoon,Medium,Gun,67900,Yes
C000165,V01622,L0284,S075,Kidnapping,2023-04-09,Morning,Medium,Knife,331918,Yes
C000166,V02295,L0228,S004,Fraud,2024-12-08,Morning,Low,Knife,222802,Yes
C000167,V02245,L0187,S015,Cyber Crime,2023-09-05,Afternoon,Low,None,148908,No
C000168,V02319,L0057,S008,Fraud,2025-04-02,Evening,Low,Stick,94055,Yes
C000169,V01005,L0266,S049,Fraud,2024-06-27,Afternoon,High,Knife,194993,No
C000170,V03397,L0228,S041,Fraud,2023-07-21,Afternoon,High,Knife,343948,Yes
C000171,V03276,L0263,S029,Robbery,2024-05-16,Afternoon,Low,None,293390,No
C000172,V02711,L0140,S074,Cyber Crime,2024-10-15,Evening,Medium,Gun,90121,Yes
C000173,V00195,L0073,S057,Theft,2023-04-15,Evening,Low,None,116341,Yes
C000174,V03919,L0081,S071,Kidnapping,2023-07-11,Evening,Medium,Gun,379738,No
C000175,V03835,L0139,S034,Fraud,2024-01-26,Morning,Low,Knife,331618,No
C000176,V01831,L0138,S002,Burglary,2023-10-14,Morning,High,Stick,493903,Yes
C000177,V02520,L0118,S015,Cyber Crime,2023-08-31,Night,Medium,Knife,83699,No
C000178,V00539,L0075,S045,Robbery,2023-10-09,Morning,Low,None,326462,Yes
C000179,V00642,L0183,S002,Burglary,2025-04-03,Evening,Low,None,15470,No
C000180,V02659,L0259,S005,Theft,2024-10-13,Afternoon,Low,Gun,319310,Yes
C000181,V00236,L0265,S056,Fraud,2024-07-24,Evening,Low,Gun,132542,No
C000182,V01917,L0017,S023,Kidnapping,2023-04-29,Afternoon,High,None,81969,No
C000183,V01144,L0278,S060,Kidnapping,2023-04-22,Afternoon,Low,None,250409,Yes
C000184,V02667,L0045,S070,Kidnapping,2025-01-19,Night,Low,Knife,10353,No
C000185,V00925,L0212,S073,Theft,2025-01-05,Evening,Medium,None,2844,Yes
C000186,V03122,L0004,S028,Fraud,2024-02-23,Evening,Low,None,409883,Yes
C000187,V03409,L0039,S040,Kidnapping,2025-09-03,Morning,Low,None,279586,Yes
C000188,V02571,L0125,S006,Burglary,2024-07-16,Morning,Low,Knife,326419,Yes
C000189,V00780,L0074,S075,Cyber Crime,2023-10-12,Afternoon,High,None,313397,Yes
C000190,V03245,L0211,S042,Theft,2025-06-17,Afternoon,Medium,None,48273,No
C000191,V03844,L0256,S052,Fraud,2023-10-24,Night,Medium,None,220386,No
C000192,V03503,L0186,S007,Theft,2025-06-06,Morning,High,Knife,408194,No
C000193,V02403,L0144,S017,Burglary,2025-05-13,Evening,Medium,None,138293,No
C000194,V01064,L0296,S057,Robbery,2025-05-26,Morning,High,None,342897,No
C000195,V02965,L0139,S012,Fraud,2024-07-13,Evening,Medium,None,58902,Yes
C000196,V02675,L0270,S002,Burglary,2025-03-18,Evening,Medium,None,217842,Yes
C000197,V02373,L0048,S074,Assault,2025-06-13,Morning,Low,None,454587,Yes
C000198,V03362,L0035,S047,Cyber Crime,2024-11-21,Morning,High,None,479525,Yes
C000199,V01196,L0106,S074,Kidnapping,2023-06-03,Evening,High,None,10599,Yes
C000200,V02805,L0133,S017,Assault,2025-01-18,Afternoon,Low,Gun,276643,Yes
C000201,V03361,L0085,S073,Kidnapping,2025-08-25,Afternoon,Medium,None,419509,Yes
C000202,V02371,L0101,S035,Burglary,2024-08-17,Morning,Low,None,161580,Yes
C000203,V03929,L0207,S071,Fraud,2024-10-30,Morning,Medium,Knife,185038,Yes
C000204,V00516,L0198,S061,Fraud,2023-12-27,Afternoon,Low,Knife,487806,Yes
C000205,V01288,L0036,S040,Burglary,2024-05-18,Afternoon,Low,None,236545,No
C000206,V03393,L0248,S057,Fraud,2024-12-23,Night,High,Stick,191531,Yes
C000207,V01094,L0038,S007,Robbery,2023-02-23,Evening,Medium,None,149069,Yes
C000208,V02649,L0083,S065,Cyber Crime,2025-03-28,Afternoon,Medium,Gun,203842,No
C000209,V02242,L0077,S074,Burglary,2023-11-23,Morning,Medium,None,203790,Yes
C000210,V03030,L0180,S001,Kidnapping,2024-05-27,Evening,Medium,Knife,28912,Yes
C000211,V01293,L0030,S008,Fraud,2024-07-01,Morning,High,None,436075,No
C000212,V01172,L0030,S060,Cyber Crime,2025-02-18,Afternoon,Low,Knife,456774,Yes
C000213,V02121,L0295,S028,Cyber Crime,2024-08-03,Morning,Medium,None,333866,Yes
C000214,V01248,L0105,S051,Kidnapping,2024-07-04,Night,Low,Knife,169701,Yes
C000215,V02181,L0145,S023,Kidnapping,2023-01-07,Morning,Medium,Stick,154168,Yes
C000216,V00845,L0190,S045,Cyber Crime,2025-03-06,Evening,High,Knife,223813,Yes
C000217,V03452,L0077,S013,Assault,2023-06-29,Morning,Low,Knife,232579,Yes
C000218,V01317,L0138,S072,Theft,2025-02-18,Night,Medium,Stick,186699,Yes
C000219,V03827,L0071,S065,Kidnapping,2023-11-12,Morning,Medium,Knife,274725,No
C000220,V03319,L0168,S012,Cyber Crime,2023-04-12,Night,Low,None,420179,No
C000221,V03391,L0254,S018,Burglary,2025-09-26,Evening,High,None,385264,Yes
C000222,V03273,L0247,S015,Assault,2024-10-07,Morning,Low,None,368279,Yes
C000223,V02457,L0250,S060,Assault,2023-12-25,Evening,Low,None,86693,Yes
C000224,V00713,L0226,S020,Robbery,2025-03-05,Night,Medium,None,450492,Yes
C000225,V03706,L0018,S039,Assault,2024-03-09,Morning,Medium,Gun,477091,Yes
C000226,V01790,L0061,S007,Burglary,2025-01-29,Afternoon,Low,None,491830,Yes
C000227,V02958,L0078,S021,Cyber Crime,2023-04-17,Afternoon,Low,Stick,362143,Yes
C000228,V03118,L0102,S011,Kidnapping,2024-10-20,Morning,Medium,Knife,436944,Yes
C000229,V00811,L0172,S011,Theft,2023-04-24,Afternoon,Low,Knife,146712,Yes
C000230,V01164,L0293,S040,Theft,2024-08-04,Evening,High,Gun,129364,Yes
C000231,V00981,L0134,S065,Fraud,2024-03-20,Evening,Medium,Knife,400809,No
C000232,V02777,L0179,S031,Assault,2025-12-01,Night,Low,Knife,472587,No
C000233,V01456,L0260,S004,Assault,2025-10-24,Night,High,Knife,28913,Yes
C000234,V00276,L0063,S019,Cyber Crime,2024-10-27,Morning,Medium,Knife,355964,No
C000235,V03859,L0250,S002,Fraud,2023-03-21,Evening,Low,Stick,199177,Yes
C000236,V03815,L0098,S062,Theft,2025-03-29,Afternoon,Medium,Knife,307088,Yes
C000237,V03831,L0151,S057,Burglary,2023-11-14,Evening,Low,None,228185,No
C000238,V01549,L0168,S020,Assault,2024-10-31,Morning,Medium,None,272519,No
C000239,V01563,L0254,S058,Burglary,2024-06-26,Afternoon,High,None,409122,No
C000240,V02727,L0244,S045,Fraud,2024-07-04,Evening,Medium,Knife,330117,No
C000241,V03852,L0239,S058,Fraud,2025-08-20,Night,Low,None,407815,Yes
C000242,V03399,L0057,S066,Theft,2025-06-08,Afternoon,Medium,None,97125,Yes
C000243,V01291,L0142,S056,Fraud,2025-10-10,Afternoon,Low,Knife,30819,Yes
C000244,V00716,L0288,S072,Fraud,2025-06-02,Morning,Low,None,444870,No
C000245,V00681,L0095,S053,Cyber Crime,2024-05-12,Night,High,Knife,340967,No
C000246,V03563,L0162,S007,Assault,2023-05-28,Night,Medium,Knife,460468,Yes
C000247,V03193,L0029,S039,Burglary,2025-02-12,Afternoon,Low,None,249693,Yes
C000248,V03017,L0139,S067,Assault,2023-10-21,Evening,Medium,None,465380,No
C000249,V01587,L0061,S054,Robbery,2024-03-03,Night,High,None,431495,Yes
C000250,V00114,L0153,S002,Robbery,2023-07-17,Morning,Medium,None,340159,Yes
C000251,V01251,L0003,S020,Cyber Crime,2025-12-28,Night,Low,Gun,296028,Yes
C000252,V01089,L0197,S007,Burglary,2024-06-16,Evening,Low,Knife,374429,Yes
C000253,V02177,L0053,S059,Kidnapping,2025-03-28,Night,High,Knife,437267,No
C000254,V02626,L0003,S029,Robbery,2024-05-03,Evening,Low,None,294091,No
C000255,V01103,L0176,S034,Theft,2023-08-17,Evening,High,Gun,96093,Yes
C000256,V01607,L0283,S030,Burglary,2023-10-14,Morning,Low,None,480266,Yes
C000257,V03110,L0135,S033,Burglary,2023-03-04,Evening,Low,Gun,498902,No
C000258,V02498,L0289,S063,Theft,2024-05-23,Morning,Low,Knife,366157,Yes
C000259,V02686,L0077,S022,Robbery,2023-11-07,Night,High,None,445112,Yes
C000260,V03482,L0007,S015,Kidnapping,2024-12-27,Evening,Medium,Knife,142172,Yes
C000261,V02766,L0188,S007,Cyber Crime,2023-02-11,Afternoon,Medium,None,223437,No
C000262,V03313,L0254,S021,Assault,2024-03-10,Morning,Medium,Knife,51031,Yes
C000263,V00584,L0055,S049,Kidnapping,2024-09-30,Evening,Medium,Knife,414833,No
C000264,V02245,L0006,S040,Robbery,2023-10-30,Morning,Medium,Knife,253405,No
C000265,V01785,L0089,S029,Kidnapping,2025-11-13,Evening,Medium,Gun,224693,Yes
C000266,V01631,L0211,S040,Assault,2025-10-11,Evening,Medium,None,293310,Yes
C000267,V02354,L0149,S009,Robbery,2023-09-29,Afternoon,Low,None,321255,Yes
C000268,V00573,L0068,S034,Robbery,2023-05-22,Afternoon,High,Knife,397334,No
C000269,V02605,L0134,S063,Theft,2024-02-15,Evening,Medium,Knife,386025,Yes
C000270,V00601,L0246,S042,Theft,2024-06-28,Night,Medium,None,219003,Yes
C000271,V03150,L0028,S042,Cyber Crime,2024-08-04,Afternoon,Low,Knife,336870,Yes
C000272,V01750,L0234,S014,Cyber Crime,2023-03-06,Morning,Low,Knife,294334,Yes
C000273,V01034,L0162,S044,Kidnapping,2025-11-25,Morning,Low,Gun,380374,No
C000274,V03113,L0142,S056,Cyber Crime,2023-09-23,Morning,Low,None,118087,No
C000275,V01581,L0182,S037,Robbery,2023-02-04,Afternoon,Low,Stick,342220,No
C000276,V00168,L0166,S058,Burglary,2025-08-25,Afternoon,Medium,None,143313,Yes
C000277,V01733,L0078,S043,Robbery,2024-11-04,Evening,Medium,Stick,160662,Yes
C000278,V03733,L0176,S012,Theft,2025-09-30,Morning,Low,None,164422,Yes
C000279,V02927,L0022,S029,Cyber Crime,2024-04-15,Morning,High,None,9333,No
C000280,V00902,L0021,S007,Cyber Crime,2024-04-14,Night,Medium,Knife,135869,No
C000281,V02694,L0011,S018,Kidnapping,2023-06-18,Morning,Low,None,302113,Yes
C000282,V03690,L0247,S002,Burglary,2024-01-13,Night,High,Gun,306075,Yes
C000283,V01396,L0020,S028,Assault,2025-01-02,Night,High,Knife,99686,No
C000284,V02610,L0256,S036,Theft,2024-11-23,Morning,Medium,Knife,409952,Yes
C000285,V00827,L0017,S023,Cyber Crime,2025-11-19,Afternoon,Low,None,429793,Yes
C000286,V01335,L0147,S073,Fraud,2024-07-17,Night,Medium,None,466644,Yes
C000287,V01074,L0256,S002,Burglary,2025-09-19,Evening,Medium,None,300871,Yes
C000288,V01318,L0106,S062,Robbery,2023-06-18,Night,Medium,Knife,84991,Yes
C000289,V00378,L0200,S030,Cyber Crime,2023-11-12,Afternoon,Low,Knife,281020,Yes
C000290,V02162,L0188,S014,Robbery,2024-08-01,Evening,High,None,80631,Yes
C000291,V01749,L0105,S039,Theft,2023-11-16,Night,Low,None,350196,Yes
C000292,V03982,L0099,S066,Assault,2023-10-17,Morning,High,None,207265,Yes
C000293,V03143,L0081,S012,Burglary,2025-09-28,Evening,Low,Knife,401477,Yes
C000294,V02716,L0156,S018,Fraud,2023-08-03,Morning,High,None,320329,Yes
C000295,V03975,L0098,S062,Fraud,2025-12-03,Evening,Low,None,288050,Yes
C000296,V02221,L0296,S008,Theft,2025-06-16,Night,Medium,Knife,240879,Yes
C000297,V03545,L0141,S003,Kidnapping,2024-03-09,Evening,Medium,None,192837,Yes
C000298,V02377,L0069,S064,Fraud,2024-04-20,Morning,Low,None,107699,Yes
C000299,V02951,L0283,S013,Robbery,2024-06-28,Evening,Medium,None,78840,Yes
C000300,V02902,L0278,S020,Fraud,2025-05-21,Morning,High,None,256744,Yes
C000301,V03872,L0257,S006,Assault,2025-01-29,Night,Medium,Knife,404841,Yes
C000302,V03909,L0148,S002,Fraud,2024-11-19,Morning,High,None,122044,Yes
C000303,V03959,L0070,S004,Assault,2025-08-06,Evening,Medium,None,254615,Yes
C000304,V00723,L0175,S045,Theft,2024-10-30,Night,High,None,324878,No
C000305,V00408,L0143,S025,Burglary,2024-03-17,Afternoon,Medium,None,88955,Yes
C000306,V00576,L0003,S041,Assault,2025-08-09,Morning,Medium,Gun,379353,No
C000307,V01136,L0273,S033,Cyber Crime,2023-04-22,Morning,Low,Stick,229518,No
C000308,V03254,L0241,S049,Theft,2023-12-21,Night,Low,Gun,68937,Yes
C000309,V01083,L0202,S019,Cyber Crime,2024-08-23,Afternoon,Medium,Gun,52096,Yes
C000310,V03941,L0039,S042,Robbery,2025-01-26,Night,High,None,60791,Yes
C000311,V02361,L0111,S063,Burglary,2024-04-12,Night,Medium,Gun,426043,Yes
C000312,V03579,L0215,S033,Fraud,2025-10-22,Morning,Medium,Knife,24489,Yes
C000313,V01028,L0008,S034,Theft,2025-08-21,Evening,Medium,None,494802,No
C000314,V00571,L0040,S014,Theft,2024-03-14,Evening,High,Knife,322305,Yes
