case_id,crime_id,case_status,investigation_days,fine_amount,court_status,case_priority
CASE000115,C000115,Solved,52,47432,Hearing,Low
CASE000116,C000116,Solved,87,42337,Hearing,Low
CASE000117,C000117,Solved,328,5923,Ongoing,Low
CASE000118,C000118,Solved,294,20966,Hearing,Low
CASE000119,C000119,Under Investigation,279,19251,Ongoing,Medium
CASE000120,C000120,Solved,312,50748,Ongoing,Medium
CASE000121,C000121,Solved,172,71299,Closed,High
CASE000122,C000122,Under Investigation,338,51049,Hearing,Low
CASE000123,C000123,Solved,202,31738,Ongoing,Medium
CASE000124,C000124,Pending,297,59987,Ongoing,High
CASE000125,C000125,Solved,57,60038,Closed,Medium
CASE000126,C000126,Solved,19,90553,Hearing,High
CASE000127,C000127,Solved,29,95572,Hearing,Medium
CASE000128,C000128,Solved,269,66531,Ongoing,Low
CASE000129,C000129,Pending,331,25162,Hearing,Medium
CASE000130,C000130,Solved,162,8632,Ongoing,High
CASE000131,C000131,Solved,62,20672,Hearing,Low
CASE000132,C000132,Solved,312,56530,Hearing,High
CASE000133,C000133,Under Investigation,13,53544,Closed,High
CASE000134,C000134,Solved,19,29129,Hearing,Medium
CASE000135,C000135,Solved,28,57736,Ongoing,Medium
CASE000136,C000136,Solved,267,54485,Hearing,High
CASE000137,C000137,Solved,41,50647,Ongoing,Medium
CASE000138,C000138,Solved,323,87815,Hearing,Low
CASE000139,C000139,Solved,171,20563,Hearing,Medium
CASE000140,C000140,Under Investigation,181,91181,Hearing,Medium
CASE000141,C000141,Solved,331,97940,Hearing,High
CASE000142,C000142,Solved,270,86636,Ongoing,Low
CASE000143,C000143,Pending,195,64849,Hearing,High
CASE000144,C000144,Under Investigation,212,51496,Closed,Medium
CASE000145,C000145,Pending,161,64158,Ongoing,High
CASE000146,C000146,Pending,247,14484,Closed,Low
CASE000147,C000147,Pending,6,95206,Ongoing,Medium
CASE000148,C000148,Under Investigation,11,97892,Closed,Medium
CASE000149,C000149,Solved,179,68232,Hearing,Medium
CASE000150,C000150,Under Investigation,241,54354,Hearing,Low
CASE000151,C000151,Pending,121,36426,Closed,High
CASE000152,C000152,Solved,25,15989,Closed,Low
CASE000153,C000153,Solved,57,31058,Closed,Low
CASE000154,C000154,Pending,111,42889,Ongoing,Medium
CASE000155,C000155,Solved,179,97299,Closed,Medium
CASE000156,C000156,Solved,268,24726,Hearing,Medium
CASE000157,C000157,Pending,173,62310,Closed,Low
CASE000158,C000158,Under Investigation,247,19782,Ongoing,Medium
CASE000159,C000159,Solved,141,90445,Hearing,High
CASE000160,C000160,Solved,347,40575,Hearing,Low
CASE000161,C000161,Solved,69,37258,Closed,Low
CASE000162,C000162,Under Investigation,221,31199,Hearing,Low
CASE000163,C000163,Solved,77,38603,Ongoing,Medium
CASE000164,C000164,Under Investigation,83,39483,Closed,High
CASE000165,C000165,Under Investigation,348,65795,Closed,Medium
CASE000166,C000166,Solved,182,89437,Ongoing,Low
CASE000167,C000167,Solved,85,24860,Ongoing,Medium
CASE000168,C000168,Solved,305,56797,Ongoing,Low
CASE000169,C000169,Solved,172,97206,Ongoing,Low
CASE000170,C000170,Solved,254,76879,Closed,Low
CASE000171,C000171,Pending,238,85414,Closed,Low
CASE000172,C000172,Solved,171,75846,Ongoing,High
CASE000173,C000173,Solved,299,98931,Ongoing,High
CASE000174,C000174,Solved,276,16855,Closed,High
CASE000175,C000175,Solved,351,32625,Hearing,Medium
CASE000176,C000176,Solved,360,49824,Hearing,Medium
CASE000177,C000177,Under Investigation,30,36328,Closed,Medium
CASE000178,C000178,Pending,190,14960,Ongoing,High
CASE000179,C000179,Under Investigation,204,49331,Hearing,High
CASE000180,C000180,Under Investigation,360,48188,Closed,High
CASE000181,C000181,Pending,148,1398,Ongoing,High
CASE000182,C000182,Under Investigation,183,85269,Closed,Low
CASE000183,C000183,Solved,90,86826,Closed,Low
CASE000184,C000184,Solved,176,30560,Ongoing,High
CASE000185,C000185,Solved,294,90266,Ongoing,High
CASE000186,C000186,Solved,129,28192,Closed,Medium
CASE000187,C000187,Solved,285,4371,Ongoing,Low
CASE000188,C000188,Solved,256,87110,Closed,Medium
CASE000189,C000189,Under Investigation,323,30048,Hearing,High
CASE000190,C000190,Solved,33,73273,Ongoing,High
CASE000191,C000191,Solved,28,14732,Closed,Low
CASE000192,C000192,Solved,90,26970,Hearing,Low
CASE000193,C000193,Solved,356,9744,Ongoing,High
CASE000194,C000194,Solved,256,49354,Ongoing,High
CASE000195,C000195,Solved,335,3461,Closed,Low
CASE000196,C000196,Pending,274,24961,Hearing,Medium
CASE000197,C000197,Pending,118,88570,Ongoing,Medium
CASE000198,C000198,Solved,270,12337,Closed,Medium
CASE000199,C000199,Solved,230,4100,Closed,High
CASE000200,C000200,Pending,341,27807,Hearing,Low
CASE000201,C000201,Solved,291,65523,Closed,Medium
CASE000202,C000202,Pending,345,64950,Hearing,High
CASE000203,C000203,Under Investigation,67,19904,Closed,Medium
CASE000204,C000204,Under Investigation,76,23614,Hearing,Low
CASE000205,C000205,Solved,315,71798,Closed,High
CASE000206,C000206,Pending,319,9717,Hearing,Low
CASE000207,C000207,Solved,96,47292,Ongoing,High
CASE000208,C000208,Solved,82,18789,Hearing,Low
CASE000209,C000209,Pending,115,36962,Hearing,High
CASE000210,C000210,Solved,259,11468,Hearing,Medium
CASE000211,C000211,Pending,58,47914,Hearing,High
CASE000212,C000212,Solved,295,25276,Hearing,High
CASE000213,C000213,Pending,176,71005,Ongoing,Low
CASE000214,C000214,Pending,88,55664,Hearing,Medium
CASE000215,C000215,Solved,74,36300,Ongoing,Medium
CASE000216,C000216,Solved,192,31040,Hearing,High
CASE000217,C000217,Solved,364,1368,Closed,Medium
CASE000218,C000218,Solved,250,4145,Closed,Medium
CASE000219,C000219,Solved,262,55859,Ongoing,High
CASE000220,C000220,Solved,101,81732,Hearing,Medium
CASE000221,C000221,Solved,183,25539,Ongoing,Medium
CASE000222,C000222,Solved,193,38460,Hearing,High
CASE000223,C000223,Under Investigation,310,70335,Closed,High
CASE000224,C000224,Solved,95,7386,Closed,High
CASE000225,C000225,Pending,18,43283,Hearing,High
CASE000226,C000226,Solved,284,8667,Closed,Low
CASE000227,C000227,Solved,331,40532,Ongoing,Low
CASE000228,C000228,Solved,279,20867,Ongoing,Medium
CASE000229,C000229,Under Investigation,326,8906,Closed,Low
CASE000230,C000230,Solved,29,75738,Hearing,Low
CASE000231,C000231,Solved,34,48484,Hearing,High
CASE000232,C000232,Solved,283,45213,Closed,High
CASE000233,C000233,Solved,121,28279,Closed,Low
CASE000234,C000234,Solved,304,79295,Ongoing,Low
CASE000235,C000235,Solved,273,1529,Ongoing,Medium
CASE000236,C000236,Solved,5,70122,Hearing,Low
CASE000237,C000237,Solved,184,86630,Closed,Medium
CASE000238,C000238,Pending,222,86690,Closed,High
CASE000239,C000239,Under Investigation,194,10517,Ongoing,Low
CASE000240,C000240,Solved,81,94974,Ongoing,High
CASE000241,C000241,Solved,85,43703,Ongoing,Medium
CASE000242,C000242,Solved,264,89842,Hearing,High
CASE000243,C000243,Under Investigation,35,16918,Hearing,Low
CASE000244,C000244,Under Investigation,247,33198,Ongoing,Medium
CASE000245,C000245,Solved,197,65459,Ongoing,Low
CASE000246,C000246,Solved,264,48186,Closed,Low
CASE000247,C000247,Solved,315,55481,Closed,Low
CASE000248,C000248,Solved,44,62555,Ongoing,Low
CASE000249,C000249,Pending,271,98349,Ongoing,Low
CASE000250,C000250,Under Investigation,29,86139,Ongoing,High
CASE000251,C000251,Solved,85,58405,Ongoing,High
CASE000252,C000252,Solved,28,37480,Closed,Medium
CASE000253,C000253,Solved,228,31151,Closed,Medium
CASE000254,C000254,Solved,362,67372,Hearing,Medium
CASE000255,C000255,Solved,168,96936,Hearing,Medium
CASE000256,C000256,Solved,116,45087,Ongoing,Medium
CASE000257,C000257,Solved,13,6298,Closed,Low
CASE000258,C000258,Solved,198,2399,Hearing,High
CASE000259,C000259,Pending,230,9482,Closed,Medium
CASE000260,C000260,Solved,291,88447,Ongoing,High
CASE000261,C000261,Under Investigation,312,77397,Closed,High
CASE000262,C000262,Pending,11,69445,Ongoing,High
CASE000263,C000263,Solved,275,49911,Closed,Medium
CASE000264,C000264,Solved,156,77247,Closed,Medium
CASE000265,C000265,Solved,314,23440,Ongoing,Medium
CASE000266,C000266,Pending,255,73133,Closed,Low
CASE000267,C000267,Solved,27,11365,Hearing,Low
CASE000268,C000268,Pending,73,91646,Hearing,Medium
CASE000269,C000269,Pending,58,14722,Closed,Low
CASE000270,C000270,Solved,350,30731,Ongoing,High
CASE000271,C000271,Solved,109,46493,Hearing,High
CASE000272,C000272,Solved,10,5194,Ongoing,Low
CASE000273,C000273,Under Investigation,225,86437,Closed,High
CASE000274,C000274,Under Investigation,101,60529,Hearing,High
CASE000275,C000275,Solved,85,98613,Hearing,Medium
CASE000276,C000276,Solved,127,82064,Hearing,Medium
CASE000277,C000277,Solved,248,51821,Hearing,High
CASE000278,C000278,Solved,95,80027,Ongoing,Low
CASE000279,C000279,Solved,347,48839,Ongoing,Medium
CASE000280,C000280,Under Investigation,178,73434,Closed,High
CASE000281,C000281,Solved,172,37349,Ongoing,Medium
CASE000282,C000282,Solved,273,58102,Closed,Medium
CASE000283,C000283,Solved,345,80421,Ongoing,Medium
CASE000284,C000284,Solved,96,89833,Closed,High
CASE000285,C000285,Solved,94,63434,Hearing,Medium
CASE000286,C000286,Under Investigation,79,72566,Ongoing,Medium
CASE000287,C000287,Solved,333,80614,Closed,Medium
CASE000288,C000288,Under Investigation,190,4694,Hearing,High
CASE000289,C000289,Solved,25,22922,Hearing,Medium
CASE000290,C000290,Solved,57,63887,Hearing,Medium
CASE000291,C000291,Solved,345,62929,Closed,Low
CASE000292,C000292,Under Investigation,50,84337,Closed,High
CASE000293,C000293,Under Investigation,180,44351,Ongoing,Low
CASE000294,C000294,Solved,361,36827,Ongoing,Medium
CASE000295,C000295,Pending,243,48026,Ongoing,High
CASE000296,C000296,Pending,266,36935,Closed,High
CASE000297,C000297,Pending,149,21265,Ongoing,High
CASE000298,C000298,Pending,317,66524,Closed,High
CASE000299,C000299,Solved,316,96300,Hearing,High
CASE000300,C000300,Solved,91,72730,Ongoing,Low
CASE000301,C000301,Solved,322,96293,Closed,High
CASE000302,C000302,Under Investigation,239,72669,Ongoing,High
CASE000303,C000303,Under Investigation,60,5019,Ongoing,Medium
CASE000304,C000304,Pending,28,67414,Ongoing,High
CASE000305,C000305,Solved,159,12851,Hearing,Medium
CASE000306,C000306,Pending,349,90769,Hearing,Medium
CASE000307,C000307,Solved,59,91105,Ongoing,Medium
CASE000308,C000308,Pending,208,28873,Closed,High
CASE000309,C000309,Solved,222,98204,Closed,Medium
CASE000310,C000310,Solved,322,76162,Closed,High
CASE000311,C000311,Solved,221,31836,Hearing,Low
CASE000312,C000312,Pending,331,26766,Closed,Medium
CASE000313,C000313,Solved,36,56194,Closed,High
CASE000314,C000314,Pending,145,12231,Hearing,Medium
CASE000315,C000315,Solved,346,66483,Ongoing,Low
CASE000316,C000316,Solved,149,13856,Hearing,Low
CASE000317,C000317,Solved,148,16751,Ongoing,Medium
CASE000318,C000318,Pending,306,90897,Hearing,Medium
CASE000319,C000319,Pending,146,3550,Hearing,Medium
CASE000320,C000320,Solved,218,33856,Ongoing,High
CASE000321,C000321,Solved,311,4234,Hearing,High
CASE000322,C000322,Under Investigation,130,8493,Closed,High
CASE000323,C000323,Under Investigation,140,53609,Hearing,High
CASE000324,C000324,Solved,212,88217,Ongoing,Medium
CASE000325,C000325,Pending,169,13435,Ongoing,Low
CASE000326,C000326,Pending,124,18139,Hearing,Low
CASE000327,C000327,Solved,326,95569,Ongoing,High
CASE000328,C000328,Under Investigation,290,50530,Closed,Low
CASE000329,C000329,Pending,92,60684,Ongoing,Low
CASE000330,C000330,Under Investigation,75,6203,Closed,Medium
CASE000331,C000331,Solved,339,51613,Hearing,High
CASE000332,C000332,Solved,230,90167,Hearing,Medium
CASE000333,C000333,Solved,140,91693,Hearing,High
CASE000334,C000334,Solved,207,73337,Ongoing,Medium
CASE000335,C000335,Solved,98,63682,Hearing,High
CASE000336,C000336,Solved,27,37629,Hearing,Medium
CASE000337,C000337,Pending,34,18512,Closed,Medium
CASE000338,C000338,Pending,326,11819,Closed,Medium
CASE000339,C000339,Solved,319,5960,Hearing,High
CASE000340,C000340,Solved,132,93394,Ongoing,Medium
CASE000341,C000341,Solved,5,96142,Closed,Low
CASE000342,C000342,Under Investigation,304,62506,Ongoing,Medium
CASE000343,C000343,Under Investigation,190,34285,Hearing,High
CASE000344,C000344,Pending,89,41633,Closed,Low
CASE000345,C000345,Solved,34,82471,Closed,High
CASE000346,C000346,Solved,241,92606,Ongoing,Low
CASE000347,C000347,Pending,88,91347,Hearing,High
CASE000348,C000348,Solved,29,91829,Closed,High
CASE000349,C000349,Solved,91,67685,Ongoing,High
CASE000350,C000350,Solved,181,68433,Ongoing,High
CASE000351,C000351,Solved,73,67430,Hearing,Medium
CASE000352,C000352,Under Investigation,236,97656,Closed,Medium
CASE000353,C000353,Solved,8,10664,Closed,Medium
CASE000354,C000354,Solved,217,60277,Ongoing,Medium
CASE000355,C000355,Pending,133,5667,Ongoing,Medium
CASE000356,C000356,Under Investigation,332,25443,Closed,Medium
CASE000357,C000357,Solved,104,71088,Hearing,Low
CASE000358,C000358,Pending,264,98256,Closed,High
CASE000359,C000359,Pending,56,63044,Ongoing,Medium
CASE000360,C000360,Solved,280,93941,Closed,High
CASE000361,C000361,Solved,202,47348,Closed,Low
CASE000362,C000362,Solved,134,50999,Ongoing,High
CASE000363,C000363,Solved,97,57844,Hearing,Medium
CASE000364,C000364,Under Investigation,138,63108,Closed,Medium
CASE000365,C000365,Pending,197,60723,Closed,Low
CASE000366,C000366,Solved,162,13374,Hearing,Medium
CASE000367,C000367,Solved,60,61067,Ongoing,High
CASE000368,C000368,Solved,204,60459,Ongoing,Low
CASE000369,C000369,Solved,18,23572,Ongoing,Medium
CASE000370,C000370,Solved,268,41637,Ongoing,Low
CASE000371,C000371,Solved,154,75167,Closed,Low
CASE000372,C000372,Pending,84,3928,Hearing,Low
CASE000373,C000373,Solved,280,73358,Closed,High
CASE000374,C000374,Pending,66,84574,Ongoing,Medium
CASE000375,C000375,Pending,330,35738,Ongoing,High
CASE000376,C000376,Solved,333,75618,Ongoing,High
CASE000377,C000377,Solved,211,18586,Closed,Medium
CASE000378,C000378,Solved,135,1199,Hearing,Medium
CASE000379,C000379,Solved,331,64940,Hearing,High
CASE000380,C000380,Solved,42,47148,Closed,Low
CASE000381,C000381,Pending,175,91965,Hearing,Low
CASE000382,C000382,Solved,336,24758,Closed,Low
CASE000383,C000383,Pending,13,14229,Closed,High
CASE000384,C000384,Pending,203,19006,Closed,Medium
CASE000385,C000385,Solved,343,11094,Closed,High
CASE000386,C000386,Under Investigation,236,58096,Ongoing,Medium
CASE000387,C000387,Under Investigation,343,52471,Closed,Medium
CASE000388,C000388,Under Investigation,227,44687,Closed,Low
CASE000389,C000389,Pending,79,34243,Closed,Low
CASE000390,C000390,Pending,174,91761,Hearing,Low
CASE000391,C000391,Solved,363,91970,Closed,Medium
CASE000392,C000392,Pending,52,94750,Closed,Medium
CASE000393,C000393,Solved,347,54935,Ongoing,High
CASE000394,C000394,Solved,136,15663,Ongoing,Low
CASE000395,C000395,Solved,282,24137,Hearing,High
CASE000396,C000396,Under Investigation,186,59292,Hearing,High
CASE000397,C000397,Solved,353,84357,Ongoing,Low
CASE000398,C000398,Solved,330,73118,Closed,Medium
CASE000399,C000399,Solved,156,20729,Ongoing,High
CASE000400,C000400,Solved,40,41990,Hearing,Low
CASE000401,C000401,Pending,163,81374,Hearing,Medium
CASE000402,C000402,Solved,233,71856,Hearing,Low
CASE000403,C000403,Solved,79,51769,Hearing,High
CASE000404,C000404,Solved,245,72956,Hearing,High
CASE000405,C000405,Pending,286,74043,Hearing,High
CASE000406,C000406,Pending,76,2896,Hearing,Medium
CASE000407,C000407,Solved,89,26214,Ongoing,Medium
CASE000408,C000408,Under Investigation,188,68665,Ongoing,High
CASE000409,C000409,Pending,174,87580,Ongoing,Low
CASE000410,C000410,Solved,53,84139,Closed,Medium
CASE000411,C000411,Solved,53,62331,Hearing,High
CASE000412,C000412,Solved,250,26996,Ongoing,Medium
CASE000413,C000413,Under Investigation,322,80084,Ongoing,High
CASE000414,C000414,Solved,342,17960,Ongoing,Medium
CASE000415,C000415,Solved,164,15030,Ongoing,High
CASE000416,C000416,Solved,322,69439,Closed,Low
CASE000417,C000417,Solved,18,39159,Closed,Medium
CASE000418,C000418,Solved,289,8113,Ongoing,Low
CASE000419,C000419,Under Investigation,195,68116,Ongoing,Low
CASE000420,C000420,Solved,149,42255,Ongoing,High
CASE000421,C000421,Solved,320,86502,Closed,High
CASE000422,C000422,Solved,173,56811,Closed,High
CASE000423,C000423,Solved,159,86545,Closed,Medium
CASE000424,C000424,Solved,135,55368,Hearing,High
CASE000425,C000425,Solved,258,88666,Ongoing,High
CASE000426,C000426,Pending,214,93779,Hearing,High
CASE000427,C000427,Solved,111,38152,Ongoing,Low
CASE000428,C000428,Pending,94,16757,Closed,Medium
CASE000429,C000429,Pending,34,58180,Hearing,High
CASE000430,C000430,Solved,313,70731,Closed,Low
CASE000431,C000431,Solved,255,20208,Ongoing,Low
CASE000432,C000432,Under Investigation,49,54764,Hearing,High
CASE000433,C000433,Solved,331,43851,Ongoing,Medium
CASE000434,C000434,Solved,37,64949,Closed,High
CASE000435,C000435,Pending,252,45013,Hearing,High
CASE000436,C000436,Solved,42,61893,Hearing,Medium
CASE000437,C000437,Solved,175,86229,Closed,High
CASE000438,C000438,Solved,128,60522,Closed,Medium
CASE000439,C000439,Under Investigation,211,76984,Closed,Medium
CASE000440,C000440,Solved,80,57317,Hearing,Low
CASE000441,C000441,Solved,290,79286,Hearing,Low
CASE000442,C000442,Under Investigation,5,44074,Hearing,High
CASE000443,C000443,Solved,359,96779,Ongoing,High
CASE000444,C000444,Under Investigation,204,56826,Closed,Low
CASE000445,C000445,Pending,265,6781,Ongoing,High
CASE000446,C000446,Solved,290,82824,Ongoing,High
CASE000447,C000447,Solved,15,34462,Ongoing,Medium
CASE000448,C000448,Solved,12,94330,Hearing,Low
CASE000449,C000449,Pending,196,72672,Hearing,High
CASE000450,C000450,Solved,170,48066,Closed,High
CASE000451,C000451,Solved,128,19353,Ongoing,Medium
CASE000452,C000452,Solved,48,68748,Ongoing,Medium
CASE000453,C000453,Pending,351,85217,Hearing,High
CASE000454,C000454,Solved,239,63881,Ongoing,High
CASE000455,C000455,Under Investigation,159,43603,Hearing,Low
CASE000456,C000456,Solved,137,99284,Hearing,Low
CASE000457,C000457,Solved,106,83036,Ongoing,Low
CASE000458,C000458,Solved,122,74324,Ongoing,Medium
CASE000459,C000459,Under Investigation,357,49089,Ongoing,Medium
CASE000460,C000460,Solved,291,70742,Closed,Medium
CASE000461,C000461,Pending,259,30183,Closed,Low
CASE000462,C000462,Solved,117,21462,Hearing,Medium
CASE000463,C000463,Under Investigation,211,26895,Ongoing,High
CASE000464,C000464,Solved,102,56930,Closed,Medium
CASE000465,C000465,Solved,81,87771,Ongoing,High
CASE000466,C000466,Solved,12,41312,Ongoing,High
CASE000467,C000467,Under Investigation,149,85029,Hearing,High
CASE000468,C000468,Solved,178,47819,Hearing,High
CASE000469,C000469,Solved,76,52416,Closed,High
CASE000470,C000470,Solved,309,26716,Hearing,Low
CASE000471,C000471,Solved,156,19845,Closed,Medium
CASE000472,C000472,Solved,229,63944,Closed,Medium
CASE000473,C000473,Solved,208,46905,Ongoing,High
CASE000474,C000474,Solved,8,5312,Closed,Medium
CASE000475,C000475,Pending,86,2605,Closed,High
CASE000476,C000476,Solved,289,47500,Ongoing,Low
CASE000477,C000477,Solved,278,57901,Hearing,High
CASE000478,C000478,Under Investigation,244,43053,Hearing,Medium
CASE000479,C000479,Solved,146,74380,Hearing,High
CASE000480,C000480,Solved,297,52465,Hearing,Low
CASE000481,C000481,Solved,354,34941,Closed,Medium
CASE000482,C000482,Solved,216,94122,Hearing,Medium
CASE000483,C000483,Solved,286,2101,Hearing,Low
CASE000484,C000484,Pending,66,23264,Ongoing,High
CASE000485,C000485,Pending,100,67992,Ongoing,Low
CASE000486,C000486,Under Investigation,50,70467,Closed,Medium
CASE000487,C000487,Solved,84,2980,Hearing,Low
CASE000488,C000488,Under Investigation,282,56782,Ongoing,High
CASE000489,C000489,Solved,308,54989,Ongoing,High
CASE000490,C000490,Solved,168,62611,Hearing,High
CASE000491,C000491,Solved,125,58979,Hearing,Low
CASE000492,C000492,Solved,93,74520,Hearing,High
CASE000493,C000493,Solved,355,85293,Closed,Medium
CASE000494,C000494,Solved,195,90200,Hearing,Medium
CASE000495,C000495,Solved,101,80775,Hearing,Medium
CASE000496,C000496,Solved,216,69919,Closed,Low
CASE000497,C000497,Solved,273,27155,Ongoing,Low
CASE000498,C000498,Under Investigation,214,85787,Hearing,Medium
CASE000499,C000499,Pending,264,9148,Ongoing,High
CASE000500,C000500,Solved,123,98777,Hearing,Low
CASE000501,C000501,Solved,85,71257,Ongoing,High
CASE000502,C000502,Pending,105,23064,Ongoing,Medium
CASE000503,C000503,Under Investigation,279,14570,Closed,Low
CASE000504,C000504,Solved,40,10211,Closed,Medium
CASE000505,C000505,Pending,70,47099,Closed,Low
CASE000506,C000506,Solved,152,7566,Hearing,High
CASE000507,C000507,Solved,104,3776,Hearing,Low
